FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004015850,a0j8p000001yjAg,Paid,2022-09-23T11:32:44Z
Success,N264220004016019,a0j8p000001yg26,Paid,2022-09-23T11:32:44Z
Success,N264220004016234,a0j8p000001yb0v,Paid,2022-09-23T11:32:44Z
Success,N264220004016017,a0j8p000001zhgm,Paid,2022-09-23T11:32:44Z
Success,N264220004016167,a0j8p000001yZWw,Paid,2022-09-23T11:32:44Z
Success,N264220004015876,a0j8p000001yUGJ,Paid,2022-09-23T11:32:44Z
Success,N264220004015970,a0j8p000001zbu3,Paid,2022-09-23T11:32:44Z
Success,N264220004016213,a0j8p000001yHgD,Paid,2022-09-23T11:32:44Z
Success,N264220004015836,a0j8p000001yXDR,Paid,2022-09-23T11:32:44Z
Success,N264220004015976,a0j8p000001zths,Paid,2022-09-23T11:32:44Z
Success,N264220004016109,a0j8p000001y5Kj,Paid,2022-09-23T11:32:44Z
Success,N264220004016036,a0j8p000001zlaW,Paid,2022-09-23T11:32:44Z
Success,N264220004016049,a0j8p000001yDk7,Paid,2022-09-23T11:32:44Z
Success,N264220004016138,a0j8p000001zskj,Paid,2022-09-23T11:32:44Z
Success,N264220004015754,a0j8p000001zSS8,Paid,2022-09-23T11:32:44Z
Success,N264220004016037,a0j8p000001zWMk,Paid,2022-09-23T11:32:44Z
Success,N264220004016165,a0j8p000001x2WF,Paid,2022-09-23T11:32:44Z
Success,N264220004016261,a0j8p000001yhoe,Paid,2022-09-23T11:32:44Z
Success,N264220004016207,a0j8p000001yhtw,Paid,2022-09-23T11:32:44Z
Success,N264220004016091,a0j8p000001yoX3,Paid,2022-09-23T11:32:44Z
Success,N264220004016001,a0j8p000001yi64,Paid,2022-09-23T11:32:44Z
Success,N264220004016112,a0j8p000001yacH,Paid,2022-09-23T11:32:44Z
Success,N264220004015848,a0j8p00000202rr,Paid,2022-09-23T11:32:44Z
Success,N264220004015962,a0j8p00000203vx,Paid,2022-09-23T11:32:44Z
Success,N264220004015743,a0j8p000001zoa4,Paid,2022-09-23T11:32:44Z
Success,N264220004015744,a0j8p000001zp8l,Paid,2022-09-23T11:32:44Z
Success,N264220004016120,a0j8p000001zp2h,Paid,2022-09-23T11:32:44Z
Success,N264220004015844,a0j8p000001zeML,Paid,2022-09-23T11:32:44Z
Success,N264220004015830,a0j8p000001yMnT,Paid,2022-09-23T11:32:44Z
Success,N264220004015956,a0j8p000001yDAS,Paid,2022-09-23T11:32:44Z
Success,N264220004016110,a0j8p000001yCbq,Paid,2022-09-23T11:32:44Z
Rejected,N264220004016123,a0j8p000001zq3x,ACCOUNT NO DOES NOT EXIST,2022-09-23T11:32:44Z
Success,N264220004016151,a0j8p000001yTlo,Paid,2022-09-23T11:32:44Z
Success,N264220004015881,a0j8p000001ySYp,Paid,2022-09-23T11:32:44Z
Success,N264220004016241,a0j8p000001yL56,Paid,2022-09-23T11:32:44Z
Success,N264220004015925,a0j8p00000201q0,Paid,2022-09-23T11:32:44Z
Success,N264220004016204,a0j8p00000202c1,Paid,2022-09-23T11:32:44Z
Success,N264220004016149,a0j8p000001yHFm,Paid,2022-09-23T11:32:44Z
Success,N264220004015984,a0j8p000001ztSu,Paid,2022-09-23T11:32:44Z
Success,N264220004015797,a0j8p000001ztyp,Paid,2022-09-23T11:32:44Z
Success,N264220004016051,a0j8p000001yfob,Paid,2022-09-23T11:32:44Z
Success,N264220004016050,a0j8p000001ydG9,Paid,2022-09-23T11:32:44Z
Success,N264220004016143,a0j8p000001zw8Z,Paid,2022-09-23T11:32:44Z
Success,N264220004016227,a0j8p000001zvwX,Paid,2022-09-23T11:32:44Z
Success,N264220004016057,a0j8p000001yNTP,Paid,2022-09-23T11:32:44Z
Success,N264220004015877,a0j8p000001ySHD,Paid,2022-09-23T11:32:44Z
Success,N264220004015759,a0j8p000001zjKV,Paid,2022-09-23T11:32:44Z
Success,N264220004015819,a0j8p000001zxka,Paid,2022-09-23T11:32:44Z
Success,N264220004015990,a0j8p000001zqJt,Paid,2022-09-23T11:32:44Z
